Nome do Evento,Data,Localização,Imagem
Circuito PASS 2024 - Lote 2 / Solos com 20% de desconto / Duos e Trios com 30% de desconto,"17 DEZ
07 JAN","Teatro Thiago de Mello - Rio de Janeiro, RJ",https://images.sympla.com.br/656f78678ac7f-xs.png
RJ MARÇO 24 Certificação Internacional Educador Parental em Disciplina Positiva,"16 MAR
17 MAR","Windsor Florida Hotel - Rio de Janeiro, RJ",https://images.sympla.com.br/65745ba1333d3-xs.jpg
Curso Reforma Tributária: Aspectos Contábeis e Fiscais,"SEX, 08 MAR · 08:30","Associação de Arquitetos e Engenheiros - AERO - Rio das Ostras, RJ",https://images.sympla.com.br/6586e2c48923b-xs.jpg
ITI EDUCATION WEEK,"19 MAR
22 MAR","ITC, Mario Henrique Simosen Square, Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/64c2be34ca2f8-xs.png
MENTORIA PRESENCIAL ARTES MARCIAIS E AUTISMO - 23 e 24 DE FEVEREIRO de 2024 - RIO DE JANEIRO,"23 FEV
24 FEV","Espaço Felipe Nilo - Rio de Janeiro, RJ",https://images.sympla.com.br/657929a6e953d-xs.png
Meu 2024 será diferente dos anos anteriores,"SAB, 13 JAN · 09:00","Av. das Américas, 3333 - Rio de Janeiro, RJ",https://images.sympla.com.br/6586152311419-xs.jpg
Módulo 2: Os cuidados (2024),"SEX, 16 FEV · 14:00","Botafogo - Rio de Janeiro, RJ",https://images.sympla.com.br/6566506cc2d9d-xs.jpg
Módulo 1: Motricidade Livre 2024,"SEX, 16 FEV · 14:00","Botafogo - Rio de Janeiro, RJ",https://images.sympla.com.br/61d489ed7cd0e-xs.png
Transportes Turísticos - JUNHO 2024 - acesso ao município de Teresópolis,"01 JUN
30 JUN","Centro de Atendimento ao Turista (CAT) - Teresópolis, RJ",https://images.sympla.com.br/657a0f90bee97-xs.png
A Arte de Contar Histórias e do Brincar na Saúde - Rio de Janeiro - 2024,"02 MAR
17 AGO","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/6564d78c69593-xs.png
Yearbook 2022,"05 DEZ
05 JUL","Escola Eleva Barra da Tijuca - Rio de Janeiro, RJ",https://images.sympla.com.br/65665929c9696-xs.png
Tour Prédios da Avenida Atlântica,"SAB, 30 DEZ · 15:00","Restaurante La Maison - Rio de Janeiro, RJ",https://images.sympla.com.br/5f6f927de9ba2-xs.jpg
HÍBRIDO: Psicoterapia e a ACP: Questões práticas e teóricas (TURMA 5) - Curso de Férias,"SAB, 20 JAN · 09:30","Av. Pastor Martin Luther King Jr., 126 - Rio de Janeiro, RJ",https://images.sympla.com.br/65470005c0e2b-xs.png
HEALTH TALK 2024,"SAB, 23 MAR · 14:00","IOA-RJ - Rio de Janeiro, RJ",https://images.sympla.com.br/657c868f86f18-xs.png
Certificação de Educação Parental em Disciplina Positiva (presencial no RJ),"11 MAR
12 MAR","Novotel RJ Santos Dumont - Rio de Janeiro, RJ",https://images.sympla.com.br/658365a5532c2-xs.png
Workshop: Oratória - Técnicas e ferramentas para você falar bem em público,"TER, 30 JAN · 08:30","Livraria Insight - Rio de Janeiro, RJ",https://images.sympla.com.br/655d536f36a03-xs.png
O Pai dos Gatos,"SEX, 19 JAN · 20:00","Teatro Eduardo Kraichete - Niterói, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/1r8i6j47u0811n0itgfe78c79jm8e04dsh62o4bm2ikce5o916dnajlpge4gsuefusjjn1cadaq48ui9a49roj8d3gq0t4qp33alu28.jpeg
Tour Casas & Prédios Antigos de Ipanema,"SAB, 06 JAN · 15:00","Nossa Senhora da Paz - Rio de Janeiro, RJ",https://images.sympla.com.br/63d84a5b53931-xs.jpg
Treinamento de sutura para enfermagem - Prof. Lucas Raineri,"SAB, 27 JAN · 10:00","Av. dos Italianos, 471 - Rio de Janeiro, RJ",https://images.sympla.com.br/657255f4f3625-xs.jpg
Oficina DuRIO de Percussão - Aula Experimental Gratuita,"19 OUT
15 FEV","Cidade das Artes - Rio de Janeiro, RJ",https://images.sympla.com.br/6154bfc1a0cb2-xs.jpg
