Nome do Evento,Data,Localização,Imagem
Os Defensores da Floresta - Barra Garden Shopping,"SAB, 06 JAN · 16:00","Barra Garden Shopping - Rio de Janeiro, RJ",https://images.sympla.com.br/6578a077376c4-xs.png
Terças No Laba,"TER, 16 JAN · 20:00","Laba Comedy - Mesquita, RJ",https://images.sympla.com.br/6580bf7e24666-xs.png
Sarau das Flores Por Elas,"SEX, 12 JAN · 20:00","Ateliê Bonifácio - Rio de Janeiro, RJ",https://images.sympla.com.br/657d06e1d2b49-xs.jpg
MARIE GABRIELLA E BANDA,"21 DEZ
28 JAN","899 LOJA 216 - Rio de Janeiro, RJ",https://images.sympla.com.br/65836039bffc6-xs.jpg
YURI MARÇAL - ME PERDI NO QUE EU TAVA FALANDO,"SEX, 19 JAN · 21:00","Teatro Municipal Dr. Átila Costa - São Pedro da Aldeia, RJ",https://images.sympla.com.br/6577dfd2851b8-xs.png
"MPB- Amor, Guerra e Paz","19 JAN
21 JAN","Teatro Cacilda Becker - Rio de Janeiro, RJ",https://images.sympla.com.br/6587339e59ced-xs.jpg
Show de comédia Standup,"SEX, 19 JAN · 20:30","Teatro Joel Barcellos | Rio das Ostras - Rio das Ostras, RJ",https://images.sympla.com.br/6577261118b1f-xs.png
"Douglas Carvalho apresenta ""Metendo o pé daqui!"" + show The Black Bullets -salão da AABB Valença RJ","SAB, 20 JAN · 19:30","AABB-Associação Atlética Banco Brasil - Valença, RJ",https://images.sympla.com.br/6572492859dc1-xs.png
Show Décio Faro - Temas de Filmes,"DOM, 14 JAN · 18:00","Novo Cine Joia - (Copacabana) - Rio de Janeiro, RJ",https://images.sympla.com.br/657b9c6930ace-xs.jpg
Lançamento do filme The Next Step - O Mistério do Limbo,"QUI, 25 JAN · 19:30","Espaço Berkeley (CBC) - Rio de Janeiro, RJ",https://images.sympla.com.br/658b34cfa3211-xs.png
RIO BALLET SUMMER 2024,"03 JAN
09 JAN","eSuites Hotel Recreio Shopping - Rio de Janeiro, RJ",https://images.sympla.com.br/648cc3e1ca55a-xs.png
Evento Móveis RIo,"01 NOV
30 ABR","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/653949c5cac59-xs.jpg
