Nome do Evento,Data,Localização,Imagem
ICELAND - PATINAÇÃO NO GELO VIA PARQUE SHOPPING,"13 NOV
31 JAN","Shopping Via Parque - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/2nagma0cl26c96rgn7jvu8ddfuge8fuhcmhars9rugjtm893piorvg0te2fq84mfcq1e43aui2rl2bbbjgbkfmmev4p62imn90ckfr8.jpeg
Colônia de Férias - Surfresgate Kids - Janeiro 2024,"08 JAN
12 JAN","Clube dos Oficiais dos Bombeiros - Barra da Tijuca - Rio de Janeiro, RJ",https://images.sympla.com.br/6579db65907b6-xs.jpg
