Nome do Evento,Data,Localização,Imagem
BYE BYE 2023 - Pool Party,"DOM, 31 DEZ · 15:00","Selina Búzios - Armação dos Búzios, RJ",https://images.sympla.com.br/656e45df9ab2a-xs.png
Réveillon Celebrare 2024,"DOM, 31 DEZ · 21:00","Clube Monte Líbano - Rio de Janeiro, RJ",https://images.sympla.com.br/64a5a2c48f612-xs.png
WHITE PARTY // ÚLTIMO OPEN BAR DO ANO,"SAB, 30 DEZ · 23:00","Seven - Rio de Janeiro, RJ",https://images.sympla.com.br/65860c2e63b62-xs.jpg
PRÉ-REVEILLON do Bigode !,"SAB, 30 DEZ · 18:00","R. Barão de Melgaço, 505 - Rio de Janeiro, RJ",https://images.sympla.com.br/6583061d81a34-xs.jpg
We Love Rio! :: Mega Open Bar! :: #NewClub! :: #VemPraNew!,"SAB, 30 DEZ · 23:00","Av. Nossa Sra. de Copacabana, 435 - Rio de Janeiro, RJ",https://images.sympla.com.br/63fe4986e35ed-xs.jpg
"Festa no Barco Marina da Gloria, Rio de Janeiro! Boat Party [LOVE BOAT PARTY] QUINTA-FEIR...","QUI, 28 DEZ · 22:30","Av. Nossa Sra. de Copacabana, 435 - Rio de Janeiro, RJ",https://images.sympla.com.br/62793b2f6220a-xs.jpg
Bye Bye 2023 - Pré New Year W Forever!,"SEX, 29 DEZ · 21:00","Maguje - Rio de Janeiro, RJ",https://images.sympla.com.br/65734f2de20f6-xs.png
KARAOKÊ DA FONTE _ 04/01 _ PRIMEIRO DO ANO!,"QUI, 04 JAN · 20:00","FONTE - Rio de Janeiro, RJ",https://images.sympla.com.br/6580ea372be7e-xs.jpg
PRÉ REVELLION - FESTA PLOC,"SAB, 30 DEZ · 22:00","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/656f7c418489e-xs.png
URSADA Bota Fora 30/12 na Piscina (Open Cooler),"SAB, 30 DEZ · 12:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/6543bf3b22b0b-xs.jpg
Lasciva | Réveillon,"SAB, 30 DEZ · 23:00","Vizinha 123 - Rio de Janeiro, RJ",https://images.sympla.com.br/656bbfb85ec97-xs.jpg
TBT ROCK BAR PRÉ RÉVEILLON | FESTA DO BRANCO | BANDA OLDSTOCK + BANDA EU CONVIDADO | KAUAI BARRA,"SAB, 30 DEZ · 18:00","Kauai Gastrolounge - Rio de Janeiro, RJ",https://images.sympla.com.br/657029edda271-xs.jpg
ROOF PRÉ REVEILLON CONVIDA CRAZY DAY,"SAB, 30 DEZ · 17:00","Selina Lapa - Rooftop Lapa - Rio de Janeiro, RJ",https://images.sympla.com.br/658a27d6bd45c-xs.jpg
Réveillon do Fritz Lounge,"DOM, 31 DEZ · 20:00","Truck do Fritz - Itatiaia, RJ",https://images.sympla.com.br/657764a559b29-xs.jpg
Black Dog,"SEX, 29 DEZ · 21:30","DRUNKS PUB - Rio de Janeiro, RJ",https://images.sympla.com.br/658b0ecc9d6f9-xs.png
OPEN BAR - Copacabana,"SAB, 30 DEZ · 22:00","OLYMPICO LOUNGE - Rio de Janeiro, RJ",https://images.sympla.com.br/65843fb2572e8-xs.jpg
Pré Reveillon Golden & White,"SEX, 29 DEZ · 21:00","R. Fonte da Saudade, 187 - Rio de Janeiro, RJ",https://images.sympla.com.br/6582dbbf33dfe-xs.jpg
Pré Réveillon Encontros Casuais - 28/12,"QUI, 28 DEZ · 18:00","Beco do Rato - Lapa, RJ",https://images.sympla.com.br/656d347d443e9-xs.png
CARNABOAT,"SAB, 30 DEZ · 14:00","BR Marinas - Marina da Glória - Rio de Janeiro, RJ",https://images.sympla.com.br/65661f38853b8-xs.png
Nosso Baião com Trio Coisa Boa - Selina Búzios,"SAB, 30 DEZ · 15:00","Selina Búzios - Armação dos Búzios, RJ",https://images.sympla.com.br/658b18639a927-xs.png
Réveillon Praia Garden 2024,"DOM, 31 DEZ · 20:00","Quiosque Praia Garden - Rio de Janeiro, RJ",https://images.sympla.com.br/64f64fd810016-xs.jpg
Réveillon Coco Verde 2024,"DOM, 31 DEZ · 20:00","Quiosque Coco Verde - Rio de Janeiro, RJ",https://images.sympla.com.br/6499c2e824340-xs.jpg
Mimo Doramanique,"DOM, 14 JAN · 11:00","Quinta da Boa Vista - Rio de Janeiro, RJ",https://images.sympla.com.br/657661eedb81e-xs.jpg
Baile Charme do Viaduto de Madureira - Último Baile do Ano,"SAB, 30 DEZ · 22:00","Viaduto de Madureira - Rio de Janeiro, RJ",https://images.sympla.com.br/6573169b9b93b-xs.png
Inferninho Pré Reveillon Copacabana | Sábado 30 de dezembro na Black Cat,"SAB, 30 DEZ · 23:00","BLACK CAT - Rio de Janeiro, RJ",https://images.sympla.com.br/6582542b6c162-xs.png
Réveillon DIBÔA 2024|31DEZ - 21h | Rio das Ostras,"DOM, 31 DEZ · 21:00","Dibôa Beach bar - Rio das Ostras, RJ",https://images.sympla.com.br/64c3d82285c04-xs.png
REVEILLON TERRAZZA ROOFTOP RIO,"DOM, 31 DEZ · 22:00","Av. Nossa Sra. de Copacabana, 1256 - Rio de Janeiro, RJ",https://images.sympla.com.br/655e6630a4eda-xs.jpg
Réveillon Anexo Buonasera,"DOM, 31 DEZ · 22:00","Buonasera Anexo - Niterói, RJ",https://images.sympla.com.br/6574ba2c69771-xs.jpg
Réveillon Higino 2024,"DOM, 31 DEZ · 21:00","Espaço Cultural Higino - Teresópolis, RJ",https://images.sympla.com.br/6537ba20c5c0a-xs.png
REVEILLON RJ VISUAL DO BAIANO 2024 (CATETE),"DOM, 31 DEZ · 22:00","Visual do Baiano - Rio de Janeiro, RJ",https://images.sympla.com.br/652007a9a07c6-xs.jpg
WE MAKE BETTER DAYS l CARNIVAL EDITION 2024,"SEX, 09 FEV · 23:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/655cf04e47ce4-xs.jpg
IXQUECE l CARNAVAL 2024,"TER, 13 FEV · 11:00","Local a definir - Rio de Janeiro, RJ",https://images.sympla.com.br/655cf08115a0f-xs.jpg
TriboQ | Ensaios de Verão 2024 #5 - 04/Fev,"DOM, 04 FEV · 18:00","Camarote Folia Tropical - Rio de Janeiro, RJ",https://images.sympla.com.br/657213b5d182f-xs.png
SAIDEIRA DO NOEL,"TER, 26 DEZ · 23:00","DVNO - Cabo Frio, RJ",https://images.sympla.com.br/6588ac24c54e4-xs.png
